author,content,cover,works
,"我尊重同性恋，我理解抑郁症，我会喂楼底下的流浪狗，会给老奶奶让座位，会对店员说谢谢……纵然，我平庸，长相普通，脾气不好，曾经悲伤难过望而不得，生活的苦也在吃，但我依然，想努力地成为一个温柔善良的人。

——网易云热评《借我》",https://static.juzicon.com/contribute/image-d840bfd6-10f2-4992-a71f-e7bcdfde3466-191124110049-TCK9.jpg,
佚名,新西兰的女孩可以被宠成公主，中国的女孩可以被逼成抑郁!希望下辈子是新西兰的女孩。,https://static.juzicon.com/contribute/image-5bb95923-0304-4aa1-836d-6a95e5a89ffc-200823223313-JIKZ.jpg,《丧》
纪尧姆・米索,我不是全职妈妈，不可能整天待在家里，吃着安眠药和抗抑郁药，乖乖等你回来。,,《会消失的人》
,"抑郁的人沉在水底
正常的人在水面
我沉浮在中间
上不去也下不来",https://static.juzicon.com/contribute/image-d8000283-9688-4d8c-8e52-823ff440e56c-191124100615-REQK.jpg,
,"我恢复了原来的模样，不渣也不爱，清醒又迷茫，时而开心，时而抑郁，却始终温柔，始终善良
                                                             ——🔱怣",https://static.juzicon.com/contribute/image-6a0b1ce6-3241-4c71-9bd6-59024b919097-210121160236-GOIG.jpeg,
,抑郁症就像个黑洞 它带走了我所有的情绪,https://static.juzicon.com/contribute/image-8fd7f85e-c9c6-4425-8a20-3b290820eef2-210122030549-WYMV.jpg,电影《如果声音不记得》
,抑郁症分为七种类型，分别是:抑郁性神经症，内源性抑郁症，反应性抑郁症，继发性抑郁症，非心因性抑郁症，隐匿性抑郁症，躁狂性抑郁症，这七种抑郁症每个发作都不一样,,
,"医生:“他压力太大了”
父母:""他一个十几岁的小孩子哪里有压力” 

医生：“你孩子患有抑郁症” 
父母：“怎么可能，她过得那么好，也没受过苦”",,
,这不是抑郁、不是厌世、不是迫不得已的反抗，这是最清醒的选择、最精确的计算，最慷慨的赴死——《犯罪心理》,https://static.juzicon.com/contribute/image-e1aaefb0-5ed9-4d2a-aaa2-aeca56e9a9e6-210131161820-A9LC.jpg,
,"每个抑郁的人都像是失落的星辰。

—明星大侦探",https://static.juzicon.com/contribute/image-36ec02cd-08e3-475d-a240-4d010e13bb5b-210201001626-F0M0.jpeg,
,"微笑抑郁的背后是无人问津的忧伤。

——明星大侦探",https://static.juzicon.com/contribute/image-36ec02cd-08e3-475d-a240-4d010e13bb5b-210201002042-QRM9.jpg,
小安,双向情感障碍：昨天还抑郁，感觉生不如死，今天突然就高兴得不得了，生活美好得要飞起来。,,《我们这儿是精神病院》
,不，你这不是抑郁，是没有钱和性生活的正常情绪。,https://static.juzicon.com/images/image-190324220825-GA6X.jpg,
,有抑郁症并不可怕，可怕的是你得了抑郁症却还有人每天伤害你，认为你很好你没事，明明他们只是开个玩笑，却没想到他们开的一个玩笑足够杀死一个人。,https://static.juzicon.com/contribute/image-5c0b3e02-2926-418c-a874-17a8e992126c-191225233401-Q9ZP.jpeg,
,如果我保护的男孩被你们搞抑郁了，110带我走，120带你走.我上新闻，你下户口。从此，十宗罪多一章。或者换一个说法，我做鬼也不会放过你。,https://static.juzicon.com/contribute/image-cd66453f-af04-4638-9513-57ff6ef89fa1-191201154412-DXIZ.jpg,
,医生说：抑郁患者很容易哭 很容易流泪 没抑郁的人拼命在装抑郁 而真正抑郁的人在拼命装正常人 谁都不说,https://static.juzicon.com/contribute/image-9b2ad2a5-b9c2-4084-a6bc-96b4a8bc7b5d-201121162512-FQCZ.jpg,
,"有的人真的有抑郁 有的人是装的
以前真正有抑郁的人好了
现在装抑郁的却真的抑郁了 
你说是幸运呢还是不幸呢
可怜可悲可叹可笑至极",https://static.juzicon.com/contribute/image-2342e4fe-2328-436f-b44c-edd9844659c4-201209220759-YBPT.jpeg,
,“早起容易让人冬日抑郁，走着走着路就想一头栽进旁边雪堆里当棵歪倒的树，来年春天再来叫醒我好了，我会很乐意发芽开花的。    ”,,《一色春》
,就期末考试前三天，我一个朋友请假回家了。当时忙着备考，也没有去思考他到底为什么回家。在回家的路上遇见了他，问他怎么没来考试，他笑着说疫情太严重了，进不来学校。再后来就有人告诉我，他得了抑郁症。那天回家是去郑州看病了。在这之前我只知道他有时候晚上会哭，会找我们寝室的小女孩去倾诉心事,https://static.juzicon.com/contribute/image-943ae431-101b-4824-89ce-4b33f89b883b-210125200042-I2BQ.jpg,
,"有些人表面抑郁跟你隔空抹眼泪，
背地里竟然偷偷热爱生活。

抑郁是真的抑郁，
热爱生活也是真的热爱生活，
矛盾地活下去也是幸运。",https://static.juzicon.com/contribute/image-54523473-d86c-459c-b40d-951e83ad5dbf-200823103934-I0Z5.jpeg,
,"一个男孩说:“如果我保护的女孩，
被你们搞抑郁了，110带走我120带走你
从此十宗罪多的一个章节。”
                       
————《十宗罪》",https://static.juzicon.com/contribute/image-a7e029d2-aaa3-4003-bd3d-427f7bc82593-200127130256-LE2Y.jpg,
,"抑郁变成了潮流……深情变成了舔狗
有抑郁的人努力装正常人，没抑郁的人假装有抑郁！对一个人喜欢的人却被别人叫成舔狗，你只不过是深情的爱他（她）罢了……
所以……是这个世界病了，还是我们病了……",https://static.juzicon.com/contribute/image-862cb829-8013-4cda-8e1b-07236834f475-200926085934-QEWE.jpg,
,"我发过最大的脾气
      就是像哑巴一样，什么也不说

                                     —抑郁症患者",https://static.juzicon.com/contribute/image-afcc1490-3c7a-4ce3-81c2-2f149370258f-200901020223-6QV5.jpeg,
,我差点忘了我是那么有趣的一个人，那么爱笑，那么没心没肺，这一年我面目全非，焦虑抑郁，差点过不去,https://static.juzicon.com/contribute/image-53e45d8f-c693-4526-8c16-843db2a9b7c5-200827185657-W249.jpg,
,人不会生来抑郁，也不会生来自闭。我抑郁，因为孤独。我孤独，因为自闭。,,
,"我已经对这个世界失望透了
面对学习的压力
面对家人的指责
面对自己的命运
...........
不说了
抑郁症再叫我
掰掰",https://static.juzicon.com/contribute/image-c410b510-41db-48d8-aabc-baaab790106e-201006133658-S8T2.jpg,
,"""你听的什么啊？""""一些治愈孤独和抑郁的歌。"" ""但是我看你每天都很高兴啊。""""我高兴是因为我很庆幸我活着。"" ""为什么呢？""""因为活着可以让我好好享受孤独和抑郁这种美妙的感觉。""""既然你很喜欢这种感觉，那为什么还要治愈它呢？""""因为这种感觉可能会让我死去。""",,《网易云音乐热门评论》
,“后来 过了这么些年我才明白 我一直是被偏爱的 只是我自卑敏感抑郁错失了好多人 ”,https://static.juzicon.com/contribute/image-abc48b3e-99e3-4554-9e24-2de2085ea5a6-210107231033-PUTE.jpg,
,我，抑郁症。但我不想死于抑郁症，更不想死在自己的手上。我，就像浅滩上的死鱼，希望大海拥抱我，还是我拥抱大海。,,
韩寒,我们总是被那些表面的抑郁所蒙骗，就像我看见的一些人，开导的都是别人。,https://static.juzicon.com/contribute/image-ff70ac5b-a5b1-423b-bb89-32a0882bdd5c-201212003707-TMJG.jpeg,《1988：我想和这个世界谈谈》
桃,我小时候得过自闭症，喜欢自言自语，我后来得过抑郁症，什么都不喜欢。奇怪的是，只要天一亮，我就多少变得正常点。我应付着生活，从来不担心未来，认识我的都说我潇洒，可我知道，我只是在找个合适的时间离开。,https://static.juzicon.com/contribute/image-e9007dbd-9dd2-4a07-bcee-4e79f7af3d24-190929024345-MAIB.jpg,《微博》
,"你不是抑郁症吗？怎么不去殡仪馆工作？
——因为我怕嫉妒那些已死去的人",,
,"时好时坏 没得抑郁症是因为精神分裂",,
,抑郁症最丑陋的地方在于他会复发 然后一个阳光明媚的日子你再次毫无征兆的跌进谷底 通体冰凉 无法挣扎 身体和精神上疼痛的可怕程度大过死亡 那些被藏在箱底的歌再被翻上来意味着什么除了自己没人知道,,
,你永远不知道笑着的抑郁症患者心里早已下起倾盆大雨，你只会说，“我看你每天都很开心啊，你这么逗，怎么可能会是抑郁症？”“你们现在这些人是觉得抑郁症什么的显得很潮流么？”――不被理解之痛也是死亡的推手。,,《网易云音乐评论》
,有朋友问我什么是抑郁症 当我站立时却像是置身于黑暗为你架起的隧道里 而我是一辆疾驰的列车 当我躺下时从海底坠落到海面 阳光漂浮在眼前 我却不想伸手去触碰 当我渐渐习惯去吃药物而不看它的说明书的时候,,
,"微笑抑郁症患者大概就是
白天什么事都没有
平时聊天很自然
可睡前
他总会默默备好纸巾
准备好药物
默默的……
默默的沉溺在
这个""空无一人""的夜晚",https://static.juzicon.com/contribute/image-2a59d421-a650-4264-b447-3bf9a6ca7902-191216003812-3MPX.jpeg,
,"救赎我唯一的光芒
冰封我痛苦的感伤
我曾说抑郁症就是一直行走在黑暗的隧道里
一片漆黑里我奔跑 我挣扎 我撞壁 我头破血流
却隐约看到一束遥不可及的微光
那束光 关于你.",https://static.juzicon.com/contribute/image-a9e5fc75-6d84-475d-a83b-ae6d7afb87a8-200221135951-IBGL.jpeg,
,人们都说“日子要一天一天过”。这么说当然可以，但对于抑郁症患者来说一天就是一座大山，一周就是徒步翻越喜马拉雅山。都说时间是相对的，此时千真万确。,https://static.juzicon.com/contribute/image-231e0033-6529-406e-be13-0d2da612de3a-200817110400-E5FK.jpeg,
,我们都是白天搞笑的废物，夜晚抑郁的怪物,,
,没有难过没有抑郁我很开心我很快乐一切最好的都在路上在坚持一下就一下这样你才值得配的上最好的.,https://static.juzicon.com/contribute/image-45882a20-d7f7-4b58-b775-b37085372e65-210707141925-UTS7.jpeg,
,"曾经我想过次次年级第一，
想过清华北大，
想过要成为这世上最了不起的人，
想过光芒万丈的未来，
而现在，我只想活着。
                             ——得了抑郁之后",https://static.juzicon.com/contribute/image-6c2c3534-d03a-4589-a0cb-c872c0c743b0-201130062136-EPC3.jpg,
,“当你开始死去，全世界突然爱你”，千万别信这种屁话。实际上大多数人只是在消费你的死亡，然后就会忘记。那不是爱，被讨论不是爱。人们假装惋惜来衬托他们还有善良是可悲，也不是爱。患有抑郁症的小朋友要记住，只有活着才有可能被爱，死了什么都没有。 ​,https://static.juzicon.com/contribute/image-0efb7228-97f6-43ab-8114-b2c107a0a784-191015233354-9AQK.jpeg,
,我尊重同性恋，我理解抑郁症，我会喂楼下的流浪猫，会给老奶奶让座，会对店员说谢谢……纵然我很平庸，长相普通，脾气不好，曾经经历生活的绝望与痛苦，伤心绝望，但我依然想好好活下去。,https://static.juzicon.com/contribute/image-37579550-9b05-4088-b97c-e73208a47291-210129142032-N9E7.jpeg,
,骆驼在沙漠痛哭，蓝鲸不幸患了抑郁。不快乐的人类在陆地上跳舞，长颈鹿说它想喝酒。夜深了，无数颗从未见过的星星说要放弃我。,https://static.juzicon.com/contribute/image-cf25922f-5c95-44e0-848d-396df3394353-191020174208-TEO6.jpg,
,"突如其来的情绪崩溃
也许是积攒了好久的
我曾经以为抑郁症是离我非常遥远的
知道我渐渐的长大
在别人开开心心无忧无虑的时候
我好像忘了我还没有成年
我也是别人口中的孩子
压垮我的从来不是别人
是我的家人朋友
还有我自己",,
马丁・塞利格曼,抑郁、哀伤会在短期内降低我们免疫系统的功能，使我们的健康受损。 认知疗法可以增强免疫系统的功能，改善病人的健康状况。,,《活出最乐观的自己》
,老子这么抑郁这么丧，会成为别人的偏爱？你信我都不信,https://static.juzicon.com/contribute/image-5e1304df-e584-46a4-8963-94c379c448e7-200914155329-Y4EJ.jpg,
,你问抑郁症的人，生活这么美好，为什么想自杀呢，这就好像你问哮喘病人，周围全是空气，你怎么会喘不上来气呢,https://static.juzicon.com/contribute/image-d337c21d-03c2-4a16-8d6a-23cac06fbb15-200214164319-JGOP.jpg,
,"如果哪一天，
把墨香搞抑郁了
110带我走，
120抬你走
我上新闻，
你下户口，
从此
十宗罪中多一篇文章，
而你，就知道，
我又多爱他。",https://static.juzicon.com/contribute/image-e8ebbf10-5f5d-4447-9bb7-cf1acda82b9f-200420094403-OTEP.jpeg,
,"这个世界上
多了一个抑郁症病人
少了一个抑郁症病人
在我被检查出抑郁症那天，雪莉自杀了",,
,世界那么大，为什么中国的抑郁症患者最多？不要拿抑郁症开玩笑，你们永远不知道抑郁症患者有多痛苦,https://static.juzicon.com/contribute/image-3948a3d1-9940-479c-ba16-dc01f2054807-210423202438-SNBS.jpg,
,早慧导致抑郁，抑郁消耗聪明。,,
,南康，一座城市的名字。白起，历史上著名的将军，杀神是也。南康白起，你与他七年禁断之恋，你因他抑郁，因他生死。你因他爱过，痛过，等过，直至坠落。你说过等他到三十五岁。明年你就三十五岁了，你还等他与否？别那么残忍，有人正燕尔新婚，有人江水中冰冷。,https://static.juzicon.com/imgs/cy/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210516133736.jpg,《我等你到三十五岁》
,"我一直以为十八层地狱是恶魔的住所，但我现在才发现，第十八层地狱是人间

                一一抑郁症患者",https://static.juzicon.com/contribute/image-6c2fc9cc-c0d4-4468-8bf1-e9b3c997b136-191227201231-R80O.jpeg,
刘瑜,每个人的心里，有多么长的一个清单，这些清单里写着多少美好的事，可是，它们总是被推迟，被搁置，在时间的阁楼上腐烂。为什么勇气的问题总是被误以为是时间的问题，而那些沉重、抑郁的、不得已的，总是被叫做生活本身。,https://static.juzicon.com/contribute/image-b5f52ec6-aa1d-4eec-bee9-f50c496cfd12-200821174541-KHAF.jpg,
,"你不明白抑郁症的人为什么抑郁
你说：“开心点就好了啊”
这句话  就好像你和哮喘病人说：“周围都是空气，你快呼吸啊。”",https://static.juzicon.com/contribute/image-9f764dae-2a99-44b4-a601-6449cc29b14f-200911201823-MOE2.jpeg,
,抑郁的人在装正常，而正常的人却在装抑郁。,,
,医生说：抑郁患者很容易哭 很容易流泪 没有抑郁的人拼命在装有 而真正抑郁的人在拼命装正常人 谁都不说.,https://static.juzicon.com/contribute/image-ea0f8e7d-1b5a-4510-9505-f1a5016082fb-200818180901-1G83.jpeg,
,"如果那一天，
你把他搞抑郁了，
110带我走,120抬你走，
我上新闻，你下户口，
从此十宗罪中多一篇文章，
而你就会知道我有多爱他.",,
,我明明能给她发信息，却不能发，也不配发，明明有她的电话，却不能打，我随时都能跟她连系，却不能，抑郁可能真的是装的，但是感觉不是装的！,,
自己,我每天消极 堕落 暴躁 所有的负能量爆棚 晚上我变成怪物 缩在角落 那么多个夜里 我都想过要死 最终还不是一样又得继续 今晚睡去就当死去 明天又会重新生长出来 求你了 抑郁症放过我吧 手臂上弯曲的疤痕 无数个流泪的夜晚 我都在与抑郁症斗争。,https://static.juzicon.com/contribute/image-36c9be81-b9da-4a7c-aa9f-da38746e2ab9-200822175539-QVUV.jpeg,《心里》
,𐂂极致抑郁 绝对理性 无限温柔,https://static.juzicon.com/contribute/image-aca78caa-4ea0-4e15-a588-68b4580e8678-200822184732-TS2A.jpeg,《文豪野犬》
李增黉,你之所以暂时患上了“抑郁症”，是因为你是一位有思想、有理想，甚至是有点怀才不遇的人。这就是“快乐的猪”与“忧郁的苏格拉底”的命题。,,《抑郁症自愈疗法》
,孤独久了可是会变成话痨的，听说是一种抑郁症。,,
,他们好像根本不知道，我是用了多大的努力才压抑下去的抑郁和恐惧，才会换来一点点的安稳，靠着这个苟延残喘，却还是会在一瞬间突然爆发出来，无助黑暗绝望充斥着我的精神空间,,
priest,活在阳光下的人想象不出旁边磕牙打屁的小伙伴遭受着无法挣脱并习以为常的折磨，抑郁深重的人不能理解那些呼啸而过的人竟真的不是强颜欢笑。,https://static.juzicon.com/imgs/burst/aerial-view-of-a-couple-making-snow-angels.jpg,《默读》
,"“为什么抑郁症（depression）有两个e和两个s？”“因为抑郁症有两种结局（ending），两倍悲伤（sadness）。”",https://static.juzicon.com/imgs/burst/beach-sunset-thailand.jpg,
,“我恢复了原来的样子 不悲不喜 时而开心 时而抑郁 时而清醒 时而迷茫 脸上的笑容少了 但始终温柔 这是教训.”,https://static.juzicon.com/contribute/image-6cbf1d02-c105-43df-9315-0b91dc8d8954-200819124706-T7QA.jpeg,
,我变回了原来的样子，不悲不喜，不爱不渣，时而开心时而抑郁，时而清醒时而迷茫，脸上笑容少了，但始终温柔。,https://static.juzicon.com/contribute/image-a5627259-4ba7-4e47-8993-a293043078b1-210102191547-E6TY.jpg,
金钟铉,抑郁最终将我吞噬，我无法战胜它，我只是孤寂的一个人。还需要多说什么呢，就对我说辛苦了吧。做到这里已经做的很好了。对我说辛苦了。就算不能笑着，也请不要责怪着送我走。,,
,如果我得了其他的病，我有坏掉的细胞，你们或许会同情我。可是我偏偏得的是抑郁症，你们会说你们也有抑郁，也很累，可是我的累不是你们的那种累，一件小事都让我心力憔悴，没有力气起床，没有食欲，看到窗口就想往下跳,,电影《如果声音不记得》
,"“西酞普兰”
最常应用于抑郁症的治疗药物，又寓意为——
你是我生活的希望。",,
村上春树,“心情抑郁的人只能做抑郁的梦，要是更加抑郁，连梦都不做的。”,https://static.juzicon.com/imgs/burst/portrait-view-of-snowy-mountain-in-the-sun.jpg,《且听风吟》
,蓝，初看是治愈，深看是抑郁,https://static.juzicon.com/contribute/image-05c05794-c7a4-4be0-a025-c3fdb389be3c-200728202546-C7DO.jpeg,
,"听歌500分钟说明你天天听
听歌1000分钟说明你爱听音乐
听歌5000分钟说明你你可能抑郁
听歌10000分钟说明你是真的孤独",,
,抑郁的人在水底，正常的人在水面，我沉浮在中间，上不去也下不来,,
priest,抑郁症患者就像是活在狗的视角里，整个世界只有黑白灰三种颜色，怎么也逃不出去，连一根救命稻草也抓不住，那是一种无法用语言解释，无法用理智战胜，无法用自我控制的痛苦，想从高楼上跳下去，想结束这种生命。,,《游医》
,"其实孤独和抑郁都挺简单的
孤独是在水中游泳
那么抑郁便是沉溺在水中",,
,短暂的抑郁使人清醒。长期抑郁使人麻木。,,
龙应台,在抑郁中逐渐成熟，在浪费中逐渐积累能量。,,
,抑郁的日子里，就像一场梦，一觉醒来，感觉和世界脱轨了,,
,华晨宇说过：当你身边的抑郁症患者对你说她有抑郁症的时候，说明她是信任你的，请不要拿她的抑郁症开玩笑。,https://static.juzicon.com/contribute/image-a78e8add-1341-4ddf-988f-b40d44fc2250-200708142125-6NIJ.jpeg,
,"如果我保护的女孩被你弄抑郁了，
110带我走，120带你走，
我上新闻，你下户口，
从此十宗罪多一章，
换个说法，我做鬼也不会放过你。",https://static.juzicon.com/contribute/image-d87e81cc-a0d0-488e-b033-f1b779cf2251-200329192048-XIO8.jpg,
,有抑郁症的人自杀了，有深海恐惧症的人跳海了，恐高的人跳楼了，怕疼的人割腕了，你说他们是想不开还是想开了,https://static.juzicon.com/contribute/image-a22698ea-95c4-4bcc-a3ff-732042908608-200719123248-AHFE.jpg,
,心里医生说，喜欢咬嘴上的死皮，喜欢扣伤口，心慌失眠莫名想哭长世界熬夜，无精打采，那就是得了抑郁症了,https://static.juzicon.com/contribute/image-474403af-e0b1-4a67-9935-5ef653df28bc-210311232808-SVST.jpeg,
,我恢复了原本的样子 不喜不悲 不爱不渣 时而开心 时而抑郁 脸上笑容依然 也多了份温柔.,https://static.juzicon.com/contribute/image-bf0cf97c-8727-4c52-b207-de993d1836c5-200509134921-44ZU.jpeg,
,"我和妈妈说起明星自杀，妈妈问我为什么，我说大多是抑郁症。于是妈妈对我说：假如有一天你的内心脆弱受不了时，教你个法子，你记住。天灭我，我没办法；天不灭我，刀架在脖子上也不死。",,
,抑郁症可能是世界上最温柔的病,https://static.juzicon.com/contribute/image-022c3802-23b6-40bd-8e9b-ffd46cdd7bc5-200217145513-SBU8.jpeg,
,“极致的抑郁，绝对的理性”,,
,"她说：生活是苦，间歇性抑郁，习惯性自愈。
他说：爱情是甜，医者不自医，渡人不渡己。",https://static.juzicon.com/contribute/image-d06938cd-d8c6-4f7e-a49c-9231483f58a5-210623092058-C6JO.jpg,
,"张国荣抑郁跳楼 
乔任梁抑郁自杀
但我不能死 
我还没出名
你会忘了我",,
,"抑郁崩溃
摇摇欲坠",,
,"我在和我的抑郁症抗争的日子里 ,   又一次败得一败涂地  ,  再次站上悬崖的边缘  ,  生活总是如此 ,  那些乱七八糟的药总是让我看起来更像个精神病",,
,每一个患有抑郁症的人，害怕阳光，抗拒黑暗，他像一个没有安全感的空壳，在承受的范围里绝望地活着，他白天微笑，黑夜哭泣。,,
卓别林,虽然我不是个悲观的人也不是憎恨人类的人， 但是有些时候与人打交道就让我恶心和抑郁。我发现对生活自己还是个陌生人。发现独处是我唯一的良药！因为憧憬的世界是现实，而现实世界却是幻影。我喜欢和书，和一些伟大的思想家， 斯宾诺莎，叔本华，尼采还有沃尔特・佩特一起生活。,,《Charlie Chaplin》
,沙雕和抑郁原来是在一起的，但是抑郁说，你太沙雕了你跟我不配！然后就抑郁和沙雕分开了，懂这个意思了吗？……,https://static.juzicon.com/contribute/image-4fefb654-49f9-4295-84cb-a34f7003652f-200921084255-VAB6.jpg,
撒贝宁,"“我们不会去嘲笑一个患感冒的人，
也不会去嘲笑一个癌症患者，
那我们为什么要去讥笑一个抑郁症患者。”",,《明星大侦探第六季》
,那些抑郁症自杀的人，到底是想不开还是想开了,,
,抑郁症:没有解药，要么自愈，要么自杀。,https://static.juzicon.com/contribute/image-e49ab851-d781-497c-a29a-c7a54d86f94e-201105110606-AAUE.jpg,
不明,一个重度抑郁患者即便没有自杀身亡.可能最后也会因为身体器官的极度紊乱衰竭而死.所以或许不打扰是最好的选择对吗。,,《不明》
,"星河依旧滚烫    厌倦人间希望
努力了只有自己知道就好
抑郁症时
依然无人问津
冷暖自知",https://static.juzicon.com/contribute/image-fc784299-3fa4-46bb-b4a5-a1eece3bf652-191020155621-DUOE.jpeg,
,抑郁症就像反过来的癌症：想做的事太少，而时间太多。,,
,"抑郁症成了潮流的代名词
十宗罪成了爱情的演绎
西游记里的唐僧动了情
渣被当成荣誉",https://static.juzicon.com/contribute/image-2a1095d6-4864-439d-a1cb-2912928ecc96-201013203851-1XMW.jpeg,
,我去找心理医生看抑郁症。他听完我的陈述，说道：如果你说的都真的话，为什么你不去自杀呢？你这不是抑郁症。抑郁症是看事情悲观，本来好，却认为不行。你是本来就过得不如别人。,,《网上》
,不要为了任何人任何事折磨自己。比如不吃饭、哭泣、自闭、抑郁，这些都是傻瓜才做的事。当然，偶尔傻一下有必要，人生不必时时聪明。,,
,如果我守护的女孩✨，被你弄抑郁了，110带我走，120带你走，我上新闻·你下户口，从此『十宗罪』多了一张，或者换个说法:我做👻鬼都不会放过你💨,https://static.juzicon.com/contribute/image-0aed8ffb-4af5-4bdb-9a6f-8cbcb8c63ea0-200504190619-PEPK.jpeg,
,白天神经病 晚上抑郁症 这样活着真累 也不知道能撑多久,https://static.juzicon.com/images/image-190323122944-2MXD.jpg,
,其实你根本没有什么抑郁，只是你没有活出理想中的自我罢了。,https://static.juzicon.com/images/image-190324202302-WHXJ.jpg,
,"没有故事的人是空洞且粗俗的。有故事的人总是孤独且抑郁。所以上天弄人便是儿戏。",,
,抑郁症是一种病，不是一种悲观失落的心情，不是矫情，不是故作姿态，是管理情绪的机能坏掉了，是大脑中无法分泌出有活力的精子。所以不要对抑郁症患者说“你有啥可抑郁的，我还抑郁呢”这种话，你会对一个癌症患者说“你有啥可乏力难过的，我还乏力难过呢”么？,,《壹心理：我们都是有抑郁症的喜剧演员》
,腿走动起来心就不会僵，闲不住的人都有一种强迫症。僵住的人都有抑郁气质,,
姜云升,"这世上还有很多美好的事情等待你去发现佛教说众生皆苦
但我认为苦是苦
就没有快乐的事情吗
就没有开心的时候吗
我认为不
就算重度抑郁
他也有快乐的事情开心的时候
也有想守护的东西",https://static.juzicon.com/contribute/image-27e79452-7fb5-4c05-959a-11b870bb485a-210624013754-WHAV.jpeg,
,"我不是抑郁症，也不失眠，
只是作业写不完，题不会做，
生活没有安全感，对未来充满迷茫、恐惧而已。",https://static.juzicon.com/contribute/image-5e8019ed-5306-43b4-b3df-5653fc791f5e-200414111347-WWEC.jpeg,
马特·海格,其实抑郁症不是一个能用“意志力”解决的问题，至少不是那种“别想太多，挺住就好”的意志力。它更像是一种对情绪的放大和锐化处理，一种从平淡到诗意的转变。,https://static.juzicon.com/contribute/image-26d02fe6-8ae8-4349-b51c-8de04693d95e-210115082302-4WEH.jpeg,《活下去的理由》
宋声声,"“&”
“这不是抑郁，不是厌世，不是不得已的反抗，是最清醒的选择，最精准的计算，最慷慨的赴死。”
“我生于长空，长于烈日。
我翱翔于风，从未远去。
亲爱的姑娘，请不要为我哭泣。",https://static.juzicon.com/contribute/image-5352b57f-ac99-4da2-a92f-fee2cd017dc5-210115203732-RKUY.jpg,《犯罪心理》
沈沫辞、,果然失望和抑郁但是慢慢积累的。,https://static.juzicon.com/contribute/image-c7f8a14b-9008-47ba-b2ed-c999beffc4f1-201004233937-EQCQ.jpeg,《抖音文案馆》
,抑郁症应该是世界上最温柔的病了，得了抑郁症的人不会伤害别人，只会伤害自己，如果有时光机，我希望可以回到自己出生了那天，一把掐死她，然后告诉她，人间不值得.,https://static.juzicon.com/contribute/image-d3dee800-2143-4abe-adb5-593b27386571-200504203857-PRL0.jpg,
,"开心好累啊 我装不下去了💔

我终于知道死而无憾的意思是 我死了 也没有人会遗憾💔

氟西汀是抗抑郁症的药 大概意思就是 你是我的命 没有你我会疯 可氟西汀也有副作用 你知道吗 头疼 焦虑 烦躁 神经症 失眠💔

孤独和抑郁就像溺水一样💔",,
,"刚刚看到一个男生对女朋友的备注是氟西汀,百度了下,氟西汀是对抗抑郁症的药物

——网易云热评《一日》
",,
,我没有想死的念头，想哭的时候往往哭不出来，不需要安眠药和抗抑郁症的药物维持，也没有整宿整宿地睡不着，但是我就是不开心，我以为这种温柔的病，我不会得，这两天才知道，我原来也没那么快乐。,https://static.juzicon.com/contribute/image-ba5faf16-ee7f-413d-85b6-3a1781f17e94-200509215000-8JGR.jpeg,
